Neighborhood,Zip Code,Rate (ER visits per 10K),Total ER Visits,Change since previous day,ER visits for fever/flu,ER visits for respiratory symptoms
North Queens,11354,0.6948546016745996,4.0, ,4.0,0.0
Upper West Side,10024,0.6836204539239814,4.0,↑,4.0,0.0
Inwood and Washington Heights,10034,0.6789480831032454,3.0,↓,3.0,0.0
Flatbush,11225,0.6723028051834546,4.0, ,3.0,1.0
Central Brooklyn,11233,0.6668267050758849,5.0, ,4.0,1.0
Lower East Side,10009,0.6651036730350344,4.0,↓,3.0,1.0
Borough Park,11230,0.6647683836156753,6.0, ,6.0,0.0
Northwest Brooklyn,11205,0.664481261628422,3.0, ,3.0,0.0
South Shore,10312,0.6551148088702545,4.0, ,4.0,0.0
Lower East Side,10002,0.6416426050689766,5.0, ,4.0,1.0
Borough Park,11219,0.638440502665489,6.0, ,6.0,0.0
Canarsie and Flatlands,11234,0.6138672614358355,6.0, ,6.0,0.0
Gramercy Park and Murray Hill,10010,0.6038829674809022,2.0, ,2.0,0.0
Central Brooklyn,11212,0.603638734290302,5.0, ,5.0,0.0
Southeast Queens,11422,0.5973894082857911,2.0, ,2.0,0.0
Southwest Brooklyn,11209,0.5886681383370125,4.0, ,4.0,0.0
Mid-Island,10314,0.5558025789239662,5.0, ,5.0,0.0
Kingsbridge and Riverdale,10463,0.5489754745206757,4.0,↓,4.0,0.0
Kingsbridge and Riverdale,10463,0.5489754745206757,4.0, ,4.0,0.0
Northwest Queens,11105,0.536365586783952,2.0, ,2.0,0.0
Northwest Brooklyn,11231,0.5307855626326964,2.0, ,2.0,0.0
Northwest Brooklyn,11231,0.5307855626326964,2.0,↓,2.0,0.0
Southwest Brooklyn,11214,0.5303182970418845,5.0, ,5.0,0.0
Jamaica,11412,0.5150258800504726,2.0, ,2.0,0.0
Southern Brooklyn,11223,0.49471275740523163,4.0, ,3.0,1.0
Chelsea and Clinton,10019,0.4808617041738796,2.0,↓,2.0,0.0
,11040,0.47460844803037494,2.0, ,2.0,0.0
Central Queens,11367,0.45981239654221073,2.0, ,2.0,0.0
West Central Queens,11374,0.4593477262287552,2.0, ,2.0,0.0
Central Harlem,10027,0.45896121777709786,3.0,↓,2.0,1.0
Southern Brooklyn,11224,0.4420475643179206,2.0, ,2.0,0.0
Chelsea and Clinton,10011,0.3943917493246041,2.0,↑,2.0,0.0
Borough Park,11204,0.374737683621465,3.0, ,3.0,0.0
Southern Brooklyn,11235,0.3739622547430879,3.0, ,3.0,0.0
Lower East Side,10003,0.3634051058417371,2.0,↑,1.0,1.0
Upper East Side,10065,0.3382377811601556,1.0,↑,1.0,0.0
Upper East Side,10128,0.31876065855952057,2.0,↑,1.0,1.0
Upper West Side,10025,0.317857218537433,3.0, ,3.0,0.0
South Shore,10309,0.29708853238265004,1.0, ,1.0,0.0
Northeast Queens,11364,0.2786679671171799,1.0, ,1.0,0.0
Greenpoint,11222,0.2714072465734835,1.0, ,1.0,0.0
Northwest Queens,11103,0.2629088232201073,1.0, ,1.0,0.0
Borough Park,11218,0.2598752598752599,2.0, ,2.0,0.0
Southern Brooklyn,11229,0.2331654542063048,2.0, ,2.0,0.0
Upper East Side,10021,0.22230620456616945,1.0,↓,0.0,1.0
Upper East Side,10028,0.19963666127647683,1.0,↓,1.0,0.0
Upper West Side,10023,0.1625646194362259,1.0,↓,1.0,0.0
Northwest Brooklyn,11215,0.1408153207068929,1.0, ,1.0,0.0
Southeast Bronx,10464,0.0,0.0, ,0.0,0.0
Greenwich Village and Soho,10014,0.0,0.0, ,0.0,0.0
Northeast Queens,11361,0.0,0.0, ,0.0,0.0
Southeast Bronx,10464,0.0,0.0, ,0.0,0.0
Southeast Bronx,10464,0.0,0.0, ,0.0,0.0
,10278,,0.0, ,0.0,0.0
