Neighborhood,Zip Code,Rate (ER visits per 10K),Total ER Visits,Change since previous day,ER visits for fever/flu,ER visits for respiratory symptoms
Central Harlem,10030,5.636044160063654,17.0, ,15.0,2.0
Lower Manhattan,10038,4.898249988867613,11.0, ,10.0,1.0
Southwest Queens,11418,4.584001833600734,18.0, ,17.0,1.0
West Queens,11368,4.2739888527392775,49.0, ,47.0,2.0
West Queens,11373,3.5286913744252906,34.0, ,33.0,1.0
West Queens,11369,3.4829202947086406,13.0, ,12.0,1.0
West Queens,11372,3.421568322498367,22.0, ,20.0,2.0
Sunset Park,11220,3.3860494761582283,34.0, ,34.0,0.0
Port Richmond,10302,3.23642051890609,6.0, ,4.0,2.0
Inwood and Washington Heights,10032,3.165308221888106,20.0, ,20.0,0.0
Inwood and Washington Heights,10033,3.124486104259168,19.0, ,18.0,1.0
East Harlem,10035,3.110331957247073,11.0, ,10.0,1.0
East Harlem,10035,3.110331957247073,11.0, ,10.0,1.0
Hunts Point and Mott Haven,10454,3.1044652558596786,12.0, ,9.0,3.0
Jamaica,11435,3.039821663795724,18.0, ,18.0,0.0
Northeast Bronx,10469,3.0133683979837826,22.0, ,21.0,1.0
Bronx Park and Fordham,10467,2.9206176132712867,30.0, ,29.0,1.0
West Queens,11377,2.8989385425028993,26.0, ,24.0,2.0
Canarsie and Flatlands,11236,2.8817584688919142,29.0, ,27.0,2.0
Bushwick and Williamsburg,11237,2.6758921233203994,14.0, ,13.0,1.0
Central Brooklyn,11233,2.6673068203035397,20.0, ,14.0,6.0
Central Brooklyn,11212,2.6560104308773282,22.0, ,20.0,2.0
Stapleton and St. George,10304,2.626301212873651,11.0, ,10.0,1.0
Inwood and Washington Heights,10040,2.6085255309436337,12.0, ,11.0,1.0
Southeast Bronx,10461,2.547970443542855,13.0, ,12.0,1.0
High Bridge and Morrisania,10451,2.487562189054726,12.0, ,10.0,2.0
Northwest Brooklyn,11205,2.4364312926375478,11.0, ,10.0,1.0
Northwest Queens,11102,2.371986835473063,8.0, ,8.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
Rockaways,11693,2.3605319065229367,3.0, ,3.0,0.0
Northeast Bronx,10466,2.3107558890293465,17.0, ,16.0,1.0
Jamaica,11434,2.2480329711502436,15.0, ,15.0,0.0
Jamaica,11432,2.150603705182955,14.0, ,13.0,1.0
Northwest Queens,11101,2.07957853874948,6.0, ,6.0,0.0
West Queens,11370,2.0716801325875287,7.0, ,7.0,0.0
West Queens,11370,2.0716801325875287,7.0, ,7.0,0.0
West Central Queens,11374,2.067064768029398,9.0, ,7.0,2.0
North Queens,11355,2.050910845699119,17.0, ,15.0,2.0
Bushwick and Williamsburg,11206,2.0508847288844327,18.0, ,16.0,2.0
Northeast Bronx,10475,2.0343120634705363,9.0, ,8.0,1.0
Lower East Side,10009,1.9953110191051031,12.0, ,11.0,1.0
Southern Brooklyn,11224,1.9892140394306426,9.0, ,8.0,1.0
Central Bronx,10460,1.974593562824985,12.0, ,12.0,0.0
Flatbush,11226,1.9496027684359312,20.0, ,19.0,1.0
Jamaica,11433,1.9434187512146366,7.0, ,7.0,0.0
Inwood and Washington Heights,10031,1.923631816870251,12.0, ,12.0,0.0
Hunts Point and Mott Haven,10459,1.840679006033337,9.0, ,8.0,1.0
East New York and New Lots,11207,1.8362497299632752,17.0, ,16.0,1.0
South Shore,10312,1.8015657243932,11.0, ,11.0,0.0
High Bridge and Morrisania,10456,1.79576832475942,17.0, ,13.0,4.0
Central Bronx,10457,1.7180314003277475,13.0, ,11.0,2.0
Central Bronx,10453,1.7025002432143204,14.0, ,13.0,1.0
Bronx Park and Fordham,10468,1.6740280979177666,13.0, ,12.0,1.0
High Bridge and Morrisania,10452,1.6670299937165793,13.0, ,11.0,2.0
Hunts Point and Mott Haven,10455,1.6448141360026318,7.0, ,6.0,1.0
Southeast Bronx,10462,1.6416628782138707,13.0, ,12.0,1.0
Canarsie and Flatlands,11234,1.6369793638288948,16.0, ,16.0,0.0
Southeast Queens,11413,1.6318918288844853,7.0, ,6.0,1.0
Southeast Bronx,10472,1.5959607683825663,11.0, ,11.0,0.0
Inwood and Washington Heights,10034,1.5842121939075724,7.0, ,7.0,0.0
Southeast Bronx,10465,1.5812419526079198,7.0, ,7.0,0.0
Gramercy Park and Murray Hill,10016,1.5549681231534753,8.0, ,7.0,1.0
Central Queens,11365,1.5362668715022496,7.0, ,6.0,1.0
Bronx Park and Fordham,10458,1.526592059372688,13.0, ,12.0,1.0
East New York and New Lots,11208,1.5129355993746534,15.0, ,11.0,4.0
Northwest Queens,11106,1.4958490189723517,6.0, ,5.0,1.0
South Shore,10306,1.4809055737583532,8.0, ,8.0,0.0
Borough Park,11204,1.374038173278705,11.0, ,11.0,0.0
Kingsbridge and Riverdale,10463,1.3724386863016895,10.0, ,10.0,0.0
Kingsbridge and Riverdale,10463,1.3724386863016895,10.0, ,10.0,0.0
East Harlem,10029,1.3602750228773526,11.0, ,9.0,2.0
Central Brooklyn,11213,1.3533224065079772,9.0, ,9.0,0.0
Southwest Queens,11419,1.3360818445564207,7.0, ,7.0,0.0
Flatbush,11203,1.3159799444656464,10.0, ,9.0,1.0
Southeast Bronx,10473,1.2793654347443666,8.0, ,8.0,0.0
Stapleton and St. George,10301,1.2673949963245545,5.0, ,4.0,1.0
Southeast Queens,11427,1.2600277206098536,3.0, ,3.0,0.0
Rockaways,11691,1.2240651202643982,8.0, ,7.0,1.0
Stapleton and St. George,10305,1.1817257923471438,5.0, ,5.0,0.0
Greenpoint,11211,1.1815675462780622,12.0, ,12.0,0.0
Borough Park,11218,1.1694386694386696,9.0, ,8.0,1.0
Central Harlem,10027,1.0709095081465616,7.0, ,6.0,1.0
West Central Queens,11379,1.0659844366272253,4.0, ,4.0,0.0
Bushwick and Williamsburg,11221,1.0646351850099367,9.0, ,8.0,1.0
Northwest Brooklyn,11231,1.0615711252653928,4.0, ,4.0,0.0
Northwest Brooklyn,11231,1.0615711252653928,4.0, ,4.0,0.0
Northwest Queens,11103,1.0516352928804291,4.0, ,4.0,0.0
West Central Queens,11385,1.0319142948272952,11.0, ,10.0,1.0
Jamaica,11412,1.0300517601009451,4.0, ,3.0,1.0
Borough Park,11219,0.9576607539982337,9.0, ,9.0,0.0
Southwest Queens,11417,0.9252120277563609,3.0, ,3.0,0.0
Central Brooklyn,11238,0.9025596591934727,5.0, ,4.0,1.0
Southeast Queens,11422,0.8960841124286867,3.0, ,3.0,0.0
Southwest Brooklyn,11228,0.8953353030710001,4.0, ,4.0,0.0
South Shore,10309,0.8912655971479501,3.0, ,3.0,0.0
Central Brooklyn,11216,0.8709284096847238,5.0, ,5.0,0.0
Borough Park,11230,0.7755631142182878,7.0, ,7.0,0.0
Southern Brooklyn,11235,0.7479245094861758,6.0, ,6.0,0.0
Southern Brooklyn,11223,0.7420691361078474,6.0, ,5.0,1.0
Flatbush,11210,0.7247637270249899,5.0, ,5.0,0.0
North Queens,11357,0.7247602251588433,3.0, ,3.0,0.0
Chelsea and Clinton,10019,0.7212925562608193,3.0, ,3.0,0.0
North Queens,11354,0.6948546016745996,4.0, ,4.0,0.0
Southwest Queens,11421,0.6885945784653522,3.0, ,3.0,0.0
Mid-Island,10314,0.6669630947087594,6.0, ,6.0,0.0
Upper East Side,10021,0.6669186136985082,3.0, ,3.0,0.0
Gramercy Park and Murray Hill,10022,0.6492031031908333,2.0, ,2.0,0.0
Lower East Side,10002,0.6416426050689766,5.0, ,5.0,0.0
Southwest Queens,11420,0.6073366264474857,3.0, ,3.0,0.0
Gramercy Park and Murray Hill,10010,0.6038829674809022,2.0, ,2.0,0.0
Upper East Side,10028,0.5989099838294304,3.0, ,3.0,0.0
Southwest Brooklyn,11209,0.5886681383370125,4.0, ,4.0,0.0
Southern Brooklyn,11229,0.582913635515762,5.0, ,5.0,0.0
Greenpoint,11222,0.542814493146967,2.0, ,1.0,1.0
North Queens,11358,0.5411401823642414,2.0, ,2.0,0.0
Upper West Side,10024,0.5127153404429861,3.0, ,3.0,0.0
